game_id,home_wins,odds,amount
0021400735,L,-110,1
0021400736,L,-110,1
0021400738,L,-110,1
0021400739,L,-110,1
0021400740,W,-110,1
0021400742,L,-110,1
0021400743,W,-110,1
0021400745,W,-110,1
0021400746,L,-110,1
0021400747,W,-110,1
0021400748,W,-110,1
0021400752,W,-110,1
0021400753,W,-110,1
0021400755,L,-110,1
0021400756,L,-110,1
0021400759,W,-110,1
0021400760,L,-110,1
0021400762,W,-110,1
0021400763,W,-110,1
0021400764,W,-110,1
0021400766,W,-110,1
0021400767,W,-110,1
0021400768,W,-110,1
0021400770,L,-110,1
0021400771,W,-110,1
0021400772,W,-110,1
0021400773,W,-110,1
0021400774,W,-110,1
0021400776,W,-110,1
0021400778,L,-110,1
0021400779,L,-110,1
0021400784,L,-110,1
0021400785,W,-110,1
0021400786,W,-110,1
0021400787,W,-110,1
0021400789,L,-110,1
0021400791,W,-110,1
0021400792,L,-110,1
0021400793,W,-110,1
0021400796,W,-110,1
0021400798,W,-110,1
0021400799,W,-110,1
0021400800,W,-110,1
0021400802,L,-110,1
0021400803,W,-110,1
0021400805,L,-110,1
0021400806,W,-110,1
0021400807,L,-110,1
0021400809,L,-110,1
0021400810,W,-110,1
0021400811,L,-110,1
0021400812,L,-110,1
0021400813,L,-110,1
0021400815,L,-110,1
0021400816,W,-110,1
0021400817,L,-110,1
0021400818,L,-110,1
0021400819,W,-110,1
0021400821,L,-110,1
0021400822,L,-110,1
0021400823,W,-110,1
0021400824,W,-110,1
0021400827,L,-110,1
0021400828,L,-110,1
0021400829,L,-110,1
0021400831,W,-110,1
0021400833,W,-110,1
0021400837,W,-110,1
0021400838,W,-110,1
0021400839,W,-110,1
0021400840,W,-110,1
0021400841,W,-110,1
0021400845,L,-110,1
0021400846,L,-110,1
0021400848,W,-110,1
0021400849,W,-110,1
0021400851,L,-110,1
0021400852,W,-110,1
0021400853,W,-110,1
0021400854,W,-110,1
0021400856,W,-110,1
0021400858,W,-110,1
0021400859,L,-110,1
0021400860,L,-110,1
0021400861,L,-110,1
0021400862,W,-110,1
0021400863,L,-110,1
0021400867,L,-110,1
0021400868,W,-110,1
0021400869,W,-110,1
0021400870,W,-110,1
0021400872,W,-110,1
0021400873,L,-110,1
0021400876,L,-110,1
0021400878,W,-110,1
0021400879,L,-110,1
0021400880,L,-110,1
0021400882,L,-110,1
0021400883,W,-110,1
