Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Seventysixers,82,435,0.048,0.8,348,122,340,35.9,40.6,0.106,0.124,0.101,0.011,0.37,27.6,Handoff
Hornets,82,359,0.041,0.92,331,132,303,43.6,47.2,0.084,0.084,0.078,0.017,0.432,79.3,Handoff
Heat,82,362,0.043,0.88,320,119,279,42.7,45.9,0.122,0.124,0.11,0.017,0.425,55.2,Handoff
Warriors,82,322,0.036,0.96,310,111,269,41.3,49.3,0.078,0.093,0.062,0.006,0.416,93.1,Handoff
Timberwolves,82,388,0.044,0.79,307,120,316,38,43.2,0.059,0.137,0.057,0.01,0.358,17.2,Handoff
Hawks,82,292,0.034,0.96,280,107,235,45.5,53.2,0.086,0.134,0.075,0.027,0.421,89.7,Handoff
Pelicans,82,326,0.038,0.85,278,114,279,40.9,44.8,0.061,0.095,0.055,0.012,0.399,44.8,Handoff
Trailblazers,82,302,0.034,0.91,275,106,262,40.5,48.9,0.046,0.099,0.043,0.013,0.381,69,Handoff
Thunder,82,301,0.033,0.88,264,97,244,39.8,45.7,0.076,0.13,0.06,0.017,0.382,51.7,Handoff
Bucks,82,327,0.037,0.79,259,106,275,38.5,42.7,0.058,0.113,0.058,0.012,0.364,20.7,Handoff
Kings,82,322,0.036,0.8,257,94,254,37,40.9,0.112,0.121,0.106,0.022,0.379,24.1,Handoff
Pacers,82,329,0.038,0.77,253,101,290,34.8,39.1,0.061,0.079,0.055,0.021,0.347,10.3,Handoff
Raptors,82,270,0.031,0.93,250,86,211,40.8,47.2,0.107,0.119,0.093,0.007,0.415,82.8,Handoff
Grizzlies,82,284,0.033,0.85,241,93,236,39.4,42.6,0.092,0.088,0.088,0.011,0.401,41.4,Handoff
Wizards,82,280,0.032,0.82,229,89,226,39.4,42.3,0.093,0.114,0.079,0.018,0.393,31,Handoff
Mavericks,82,247,0.028,0.91,225,94,202,46.5,49.5,0.077,0.121,0.053,0.016,0.437,72.4,Handoff
Nuggets,82,243,0.027,0.91,222,81,217,37.3,46.1,0.062,0.062,0.062,0.016,0.379,75.9,Handoff
Cavaliers,82,190,0.022,0.99,189,73,165,44.2,54.5,0.037,0.111,0.026,0.016,0.405,96.6,Handoff
Pistons,82,262,0.029,0.72,188,69,216,31.9,37.5,0.065,0.115,0.065,0.004,0.317,0,Handoff
Suns,82,244,0.027,0.76,185,68,199,34.2,39.9,0.074,0.127,0.061,0.016,0.336,6.9,Handoff
Rockets,82,249,0.027,0.72,180,63,181,34.8,42.5,0.06,0.217,0.056,0.004,0.305,3.4,Handoff
Magic,82,162,0.019,0.84,136,47,132,35.6,42.4,0.086,0.093,0.086,0,0.37,34.5,Handoff
Nets,82,140,0.016,0.9,126,47,108,43.5,49.1,0.079,0.157,0.043,0.007,0.407,65.5,Handoff
Spurs,82,848,0.097,1.31,1110,473,710,66.6,66.6,0.142,0.061,0.129,0.04,0.656,93.1,Cut
Warriors,82,868,0.096,1.27,1102,464,713,65.1,65.1,0.156,0.055,0.15,0.033,0.651,89.7,Cut
Bucks,82,903,0.103,1.16,1049,440,733,60,60,0.151,0.068,0.136,0.03,0.597,37.9,Cut
Grizzlies,82,825,0.096,1.19,981,417,691,60.3,60.3,0.131,0.059,0.12,0.03,0.599,65.5,Cut
Wizards,82,820,0.094,1.16,953,407,674,60.4,60.4,0.127,0.077,0.123,0.026,0.594,41.4,Cut
Jazz,82,748,0.088,1.22,916,372,570,65.3,65.3,0.194,0.08,0.189,0.039,0.636,75.9,Cut
Bulls,82,790,0.09,1.15,912,374,649,57.6,57.6,0.148,0.054,0.134,0.023,0.592,31,Cut
Nets,82,779,0.09,1.15,892,371,619,59.9,59.9,0.167,0.078,0.153,0.04,0.579,24.1,Cut
Hawks,82,708,0.083,1.21,855,371,610,60.8,60.8,0.12,0.048,0.121,0.031,0.61,69,Cut
Pelicans,82,688,0.08,1.22,840,337,536,62.9,62.9,0.19,0.077,0.185,0.049,0.616,72.4,Cut
Timberwolves,82,703,0.079,1.18,833,326,552,59.1,59.1,0.183,0.065,0.176,0.036,0.605,62.1,Cut
Nuggets,82,704,0.077,1.13,792,315,554,56.9,56.9,0.18,0.07,0.175,0.038,0.578,13.8,Cut
Celtics,82,637,0.071,1.24,790,335,532,63,63,0.143,0.057,0.13,0.036,0.626,82.8,Cut
Raptors,82,634,0.073,1.24,787,336,520,64.6,64.6,0.136,0.066,0.125,0.024,0.632,86.2,Cut
Kings,82,661,0.074,1.16,764,305,521,58.5,58.5,0.166,0.071,0.148,0.026,0.592,34.5,Cut
Pacers,82,645,0.074,1.18,762,323,528,61.2,61.2,0.149,0.065,0.14,0.036,0.595,55.2,Cut
Cavaliers,82,635,0.073,1.18,752,304,495,61.4,61.4,0.176,0.077,0.157,0.035,0.609,58.6,Cut
Rockets,82,642,0.071,1.16,747,324,516,62.8,62.8,0.143,0.07,0.142,0.022,0.603,48.3,Cut
Magic,82,563,0.065,1.32,742,319,474,67.3,67.3,0.158,0.043,0.151,0.044,0.663,96.6,Cut
Heat,82,634,0.076,1.16,737,296,504,58.7,58.7,0.175,0.055,0.161,0.03,0.598,44.8,Cut
Lakers,82,645,0.072,1.14,737,317,530,59.8,59.8,0.14,0.06,0.13,0.022,0.584,20.7,Cut
Knicks,82,660,0.077,1.1,728,300,523,57.4,57.4,0.144,0.086,0.129,0.027,0.562,3.4,Cut
Clippers,82,531,0.061,1.32,701,291,412,70.6,70.6,0.224,0.051,0.207,0.051,0.682,100,Cut
Suns,82,585,0.065,1.15,673,279,481,58,58,0.149,0.05,0.138,0.021,0.593,27.6,Cut
Seventysixers,82,637,0.071,1.05,668,260,465,55.9,55.9,0.198,0.105,0.182,0.035,0.551,0,Cut
Mavericks,82,536,0.06,1.24,662,271,418,64.8,64.8,0.179,0.076,0.179,0.037,0.631,79.3,Cut
Thunder,82,573,0.063,1.12,644,272,458,59.4,59.4,0.148,0.079,0.141,0.026,0.581,10.3,Cut
Trailblazers,82,547,0.062,1.12,611,253,438,57.8,57.8,0.133,0.09,0.126,0.024,0.572,6.9,Cut
Hornets,82,511,0.059,1.16,595,242,414,58.5,58.5,0.182,0.053,0.166,0.045,0.597,51.7,Cut
Pistons,82,514,0.058,1.13,581,255,421,60.6,60.6,0.144,0.066,0.142,0.031,0.578,17.2,Cut
Warriors,82,791,0.088,0.94,743,282,685,41.2,49.4,0.058,0.094,0.054,0.018,0.396,82.8,Screen
Pacers,82,635,0.073,0.95,605,235,571,41.2,49,0.05,0.058,0.044,0.008,0.409,86.2,Screen
Clippers,82,551,0.063,1.05,581,219,502,43.6,51,0.067,0.034,0.064,0.013,0.452,100,Screen
Hawks,82,557,0.065,1.01,564,199,460,43.3,54,0.079,0.108,0.072,0.013,0.42,93.1,Screen
Raptors,82,598,0.069,0.94,560,193,510,37.8,44.8,0.102,0.057,0.084,0.012,0.411,79.3,Screen
Timberwolves,82,650,0.073,0.82,536,213,561,38,41.8,0.077,0.075,0.065,0.015,0.386,10.3,Screen
Wizards,82,587,0.067,0.89,520,201,510,39.4,45.2,0.066,0.068,0.058,0.005,0.402,44.8,Screen
Knicks,82,565,0.066,0.92,517,206,506,40.7,45.8,0.06,0.062,0.055,0.018,0.407,69,Screen
Lakers,82,530,0.06,0.88,469,183,477,38.4,44.4,0.057,0.051,0.053,0.008,0.391,41.4,Screen
Bucks,82,516,0.059,0.82,423,179,443,40.4,44,0.039,0.109,0.033,0.006,0.378,3.4,Screen
Pistons,82,491,0.055,0.85,415,163,429,38,42.7,0.063,0.071,0.059,0.008,0.385,13.8,Screen
Suns,82,433,0.048,0.9,391,150,383,39.2,45.8,0.062,0.067,0.048,0.014,0.393,58.6,Screen
Pelicans,82,382,0.044,1.02,389,151,334,45.2,53.9,0.05,0.084,0.045,0.008,0.437,96.6,Screen
Trailblazers,82,397,0.045,0.97,385,147,359,40.9,49.2,0.055,0.058,0.055,0.02,0.406,89.7,Screen
Celtics,82,422,0.047,0.91,385,153,383,39.9,46.2,0.055,0.05,0.05,0.012,0.403,65.5,Screen
Mavericks,82,435,0.049,0.88,383,168,399,42.1,44.6,0.037,0.048,0.028,0.002,0.421,37.9,Screen
Spurs,82,449,0.052,0.85,383,147,393,37.4,43.5,0.053,0.078,0.051,0.009,0.372,20.7,Screen
Hornets,82,452,0.052,0.8,363,145,401,36.2,39.5,0.066,0.055,0.055,0.009,0.378,0,Screen
Bulls,82,412,0.047,0.87,360,133,357,37.3,43,0.087,0.07,0.08,0.024,0.383,31,Screen
Heat,82,392,0.047,0.87,342,144,337,42.7,45.4,0.066,0.087,0.064,0.015,0.411,27.6,Screen
Grizzlies,82,372,0.043,0.91,337,139,335,41.5,47.2,0.04,0.07,0.035,0.011,0.403,62.1,Screen
Nuggets,82,359,0.039,0.93,335,120,299,40.1,46.2,0.095,0.075,0.072,0.006,0.423,75.9,Screen
