Date,Season,player_size,atb3_pps,c3_pps,mid_pps,ra_pps,paint_pps
36894,2000,Big,0.957726596,1.158007789,0.854078934,1.602581075,1.064763779
36894,2000,Small,1.093460671,1.144997353,0.918325694,1.64388884,1.110275622
36894,2000,All,1.072224309,1.146824442,0.895034767,1.623934312,1.086416129
36895,2000,Big,0.967406929,1.173114977,0.853848648,1.60529622,1.063336906
36895,2000,Small,1.089562583,1.144576837,0.918340191,1.642218089,1.109017759
36895,2000,All,1.070262696,1.148616567,0.894970855,1.624392088,1.085072878
36896,2000,Big,0.967804423,1.172116312,0.852661817,1.606490339,1.064006842
36896,2000,Small,1.090152456,1.14772024,0.919461548,1.640531397,1.110954899
36896,2000,All,1.07095587,1.151168281,0.895328083,1.624106602,1.086351275
36897,2000,Big,0.974443285,1.188659779,0.85282364,1.606752004,1.063371296
36897,2000,Small,1.089589753,1.143306372,0.918274478,1.639800066,1.110930324
36897,2000,All,1.071470825,1.149783374,0.89462404,1.623847926,1.086011458
36898,2000,Big,0.981660849,1.186577921,0.853919176,1.605235625,1.062341588
36898,2000,Small,1.09412026,1.140252665,0.918282258,1.63915275,1.107950498
36898,2000,All,1.076455414,1.146860208,0.895026267,1.622773494,1.084081397
36899,2000,Big,0.984176444,1.184025969,0.855100205,1.606974343,1.065578635
36899,2000,Small,1.094546198,1.138809596,0.917788879,1.637843172,1.108269493
36899,2000,All,1.077281396,1.145187337,0.895135911,1.622950622,1.08591142
36900,2000,Big,0.981178842,1.16936533,0.855960062,1.606872918,1.06691747
36900,2000,Small,1.094718172,1.134876219,0.91648398,1.635663664,1.107987285
36900,2000,All,1.076927679,1.139744651,0.894588382,1.621768483,1.086477192
36901,2000,Big,0.981995142,1.180126965,0.855644731,1.607025568,1.065559553
36901,2000,Small,1.096762566,1.137766756,0.915695654,1.634575717,1.109937487
36901,2000,All,1.078755247,1.14370605,0.894022194,1.621275163,1.086703095
36902,2000,Big,0.98322364,1.201116904,0.856979997,1.608064298,1.065459551
36902,2000,Small,1.096057066,1.13584146,0.913920248,1.633763651,1.107332005
36902,2000,All,1.078407397,1.144977335,0.893332073,1.621363084,1.085415771
36903,2000,Big,0.984949956,1.197480586,0.856756535,1.609744349,1.066561167
36903,2000,Small,1.09470835,1.135547393,0.913247579,1.632516769,1.107279227
36903,2000,All,1.077430058,1.144330711,0.892836708,1.621541973,1.085986845
36904,2000,Big,0.988036977,1.18800069,0.856601368,1.609446325,1.067465436
36904,2000,Small,1.095063891,1.127809815,0.913440023,1.631902144,1.107189729
36904,2000,All,1.078289461,1.13627577,0.892940391,1.621086268,1.086417947
36905,2000,Big,0.985601215,1.194916364,0.858497647,1.61035251,1.069143929
36905,2000,Small,1.092704637,1.129922887,0.914072672,1.630011443,1.106132274
36905,2000,All,1.075865184,1.139197237,0.893997931,1.620535571,1.086798275
36906,2000,Big,0.986068278,1.193478679,0.859696724,1.610920848,1.070242231
36906,2000,Small,1.094976884,1.129988682,0.913504768,1.630211126,1.103526755
36906,2000,All,1.077895407,1.139099195,0.894053425,1.620925189,1.086128083
36907,2000,Big,0.987412068,1.185996108,0.86022196,1.614002175,1.069826833
36907,2000,Small,1.099309272,1.139577802,0.914777568,1.630820731,1.102081913
36907,2000,All,1.081866989,1.146243254,0.895090081,1.622726712,1.085248382
36908,2000,Big,0.986025066,1.177192055,0.861256932,1.614894631,1.069678295
36908,2000,Small,1.099118115,1.145694753,0.914732747,1.63061071,1.102358103
36908,2000,All,1.081466437,1.150222331,0.895441583,1.623050008,1.085317614
36909,2000,Big,0.99083406,1.189371609,0.859984791,1.614672173,1.069777296
36909,2000,Small,1.104072893,1.147898333,0.914753724,1.630861712,1.101966234
36909,2000,All,1.086342237,1.153816789,0.894992609,1.623068089,1.085186042
36910,2000,Big,0.996062174,1.175338318,0.860565776,1.614921028,1.070405582
36910,2000,Small,1.101252724,1.148404677,0.9161676,1.630784102,1.100871674
36910,2000,All,1.084687653,1.152259426,0.896105691,1.623147163,1.084988339
36911,2000,Big,0.998179797,1.182860258,0.860259783,1.615291878,1.070654828
36911,2000,Small,1.103170475,1.147159152,0.916849026,1.632295513,1.100450787
36911,2000,All,1.086697196,1.152251388,0.896474025,1.624110672,1.084954657
36912,2000,Big,1.000045117,1.179302636,0.860391797,1.617059711,1.070596831
36912,2000,Small,1.106663959,1.147840825,0.91680465,1.631369155,1.10067734
36912,2000,All,1.089986824,1.152357339,0.89646907,1.624482456,1.085030749
36913,2000,Big,1.003331253,1.177632926,0.860459391,1.616213234,1.071629122
36913,2000,Small,1.107343662,1.15045221,0.917999287,1.631263783,1.10182737
36913,2000,All,1.091087841,1.154348988,0.897276747,1.624009668,1.086131245
36914,2000,Big,1.002929691,1.170012955,0.86000346,1.615345421,1.070770952
36914,2000,Small,1.107006352,1.149646944,0.917875393,1.63104197,1.102744001
36914,2000,All,1.090723033,1.152578494,0.89702807,1.623473758,1.086123125
36915,2000,Big,1.002301251,1.191468256,0.860981333,1.616988074,1.068862653
36915,2000,Small,1.108110321,1.154566886,0.918277204,1.630032626,1.106152386
36915,2000,All,1.091601918,1.159923389,0.897645187,1.623743701,1.086799518
36916,2000,Big,0.999186402,1.190581266,0.859779381,1.615806148,1.068288665
36916,2000,Small,1.107671347,1.15023791,0.917381572,1.628409573,1.107686691
36916,2000,All,1.090825637,1.156080604,0.896682946,1.622343034,1.087278037
36917,2000,Big,0.998511205,1.1808988,0.860148081,1.616048371,1.06929771
36917,2000,Small,1.106475432,1.152020953,0.918162714,1.628974142,1.106375829
36917,2000,All,1.089675326,1.156200641,0.897286492,1.622742546,1.087145761
36918,2000,Big,1.002908154,1.177068909,0.861066738,1.616733704,1.068744498
36918,2000,Small,1.107391893,1.151939422,0.918105712,1.629182512,1.106940836
36918,2000,All,1.091192538,1.155556224,0.897617751,1.62318978,1.087154267
36919,2000,Big,0.998975727,1.171391021,0.860731357,1.61651145,1.068698231
36919,2000,Small,1.10986727,1.149758042,0.918824989,1.627725464,1.105578737
36919,2000,All,1.092753079,1.152837452,0.897977069,1.62232975,1.086480903
36920,2000,Big,1.001160395,1.173929421,0.86106608,1.615061223,1.069524879
36920,2000,Small,1.108979652,1.152148498,0.918000904,1.627125321,1.105639765
36920,2000,All,1.092352206,1.155252704,0.897602524,1.621321999,1.086950306
36921,2000,Big,1.008534691,1.16986547,0.861392478,1.616073266,1.067043117
36921,2000,Small,1.107960736,1.146133337,0.919013352,1.626474986,1.104166133
36921,2000,All,1.092613195,1.149518908,0.898385151,1.621467045,1.08495049
36922,2000,Big,1.004594532,1.161636968,0.862390505,1.613644461,1.064860503
36922,2000,Small,1.10650899,1.145304666,0.918055981,1.626600106,1.107536296
36922,2000,All,1.090822588,1.147633559,0.898102453,1.620353467,1.085477613
36923,2000,Big,0.99980529,1.162374644,0.86122776,1.614670197,1.063284697
36923,2000,Small,1.10658935,1.144820596,0.918440807,1.627384452,1.106137193
36923,2000,All,1.090147891,1.147328886,0.897951226,1.621251315,1.083990026
36924,2000,Big,1.001623636,1.159817984,0.862840555,1.613588139,1.064374964
36924,2000,Small,1.10817767,1.144223412,0.918177251,1.625355493,1.104637108
36924,2000,All,1.09173216,1.14645171,0.898367348,1.61967848,1.083811861
36925,2000,Big,1.001959311,1.161156896,0.862256336,1.614074879,1.063605779
36925,2000,Small,1.108074115,1.145436337,0.919245425,1.627414499,1.106501266
36925,2000,All,1.091769461,1.147665607,0.898865818,1.620983678,1.084294716
36926,2000,Big,0.998570702,1.169475361,0.864560742,1.613519787,1.062546729
36926,2000,Small,1.108466669,1.14758437,0.919036037,1.625072049,1.106079648
36926,2000,All,1.091583866,1.150675203,0.899548595,1.619488002,1.08353949
36927,2000,Big,1.000421242,1.171778107,0.864244044,1.613351577,1.062379526
36927,2000,Small,1.109384764,1.147627942,0.91904944,1.622872692,1.105926056
36927,2000,All,1.092598513,1.151032045,0.899461809,1.618271156,1.083393376
36928,2000,Big,0.998388601,1.167491708,0.864738942,1.613765709,1.062045076
36928,2000,Small,1.107888412,1.151389485,0.919277291,1.624054567,1.105891029
36928,2000,All,1.091006993,1.153653045,0.899779463,1.61908281,1.083223858
36929,2000,Big,0.997990617,1.16397976,0.864911775,1.612413692,1.062741169
36929,2000,Small,1.10906541,1.15155515,0.919495978,1.623922198,1.106397284
36929,2000,All,1.092024125,1.153295448,0.899984896,1.618362653,1.083809601
36930,2000,Big,1.001594387,1.16043173,0.864584,1.613412213,1.063604644
36930,2000,Small,1.110191749,1.153131445,0.918912013,1.622826022,1.10453373
36930,2000,All,1.093367129,1.154164664,0.899501178,1.618275712,1.083348015
36935,2000,Big,0.999793399,1.16043173,0.864405894,1.613060136,1.063582186
36935,2000,Small,1.111884138,1.155757318,0.919015835,1.621804109,1.104518054
36935,2000,All,1.094607378,1.156415009,0.899492362,1.61757803,1.083313453
36936,2000,Big,1.003258431,1.16020205,0.862768131,1.613338156,1.064964634
36936,2000,Small,1.113116448,1.16117236,0.917851973,1.62158824,1.104972195
36936,2000,All,1.096103441,1.161035537,0.898128817,1.61760136,1.084222578
36937,2000,Big,1.006564323,1.16400805,0.862771224,1.613365749,1.064527182
36937,2000,Small,1.114764459,1.165913742,0.917845896,1.621514275,1.10576595
36937,2000,All,1.098027297,1.165645115,0.898144327,1.617576483,1.084380973
36938,2000,Big,1.009471686,1.158675316,0.862236501,1.612418906,1.064588483
