Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT_Freq,TO_Freq,SF_Freq,AndOne_Freq,Score_Freq,Percentile,Playtype,Side
Portland Trail Blazers,15,84,5.2%,0.95,80,30,76,39.5,46.7,8.3%,3.6%,7.1%,2.4%,41.7%,41.4,hand-off,defensive
New York Knicks,15,89,5.5%,0.96,85,32,73,43.8,48.6,11.2%,7.9%,12.4%,2.2%,44.9%,37.9,hand-off,defensive
Charlotte Hornets,14,80,5.3%,1.10,88,34,65,52.3,58.5,7.5%,11.3%,5.0%,0.0%,50.0%,3.4,hand-off,defensive
Oklahoma City Thunder,15,81,4.8%,1.11,90,33,69,47.8,57.2,9.9%,7.4%,7.4%,2.5%,48.1%,0.0,hand-off,defensive
Detroit Pistons,14,82,5.5%,1.18,97,43,68,63.2,63.2,12.2%,8.5%,11.0%,3.7%,58.5%,44.8,cut,defensive
Minnesota Timberwolves,14,97,6.3%,1.06,103,49,85,57.6,57.6,8.2%,7.2%,8.2%,3.1%,53.6%,89.7,cut,defensive
Dallas Mavericks,14,94,6.0%,1.13,106,46,80,57.5,57.5,11.7%,6.4%,11.7%,3.2%,57.4%,72.4,cut,defensive
Cleveland Cavaliers,14,102,6.9%,1.04,106,41,81,50.6,50.6,16.7%,3.9%,16.7%,1.0%,53.9%,96.6,cut,defensive
Phoenix Suns,14,91,5.9%,1.20,109,43,69,62.3,62.3,22.0%,5.5%,19.8%,3.3%,61.5%,34.5,cut,defensive
Chicago Bulls,12,91,6.7%,1.25,114,48,74,64.9,64.9,18.7%,6.6%,17.6%,6.6%,62.6%,13.8,cut,defensive
Denver Nuggets,14,100,6.5%,1.17,117,51,82,62.2,62.2,13.0%,9.0%,13.0%,4.0%,59.0%,48.3,cut,defensive
Utah Jazz,13,104,7.7%,1.13,117,45,80,56.3,56.3,19.2%,6.7%,16.3%,2.9%,56.7%,75.9,cut,defensive
Miami Heat,13,114,8.2%,1.04,118,50,93,53.8,53.8,13.2%,7.9%,12.3%,2.6%,53.5%,100.0,cut,defensive
San Antonio Spurs,14,106,7.2%,1.13,120,50,86,58.1,58.1,14.2%,8.5%,13.2%,3.8%,57.5%,69.0,cut,defensive
Indiana Pacers,13,95,6.7%,1.32,125,53,74,71.6,71.6,15.8%,11.6%,14.7%,5.3%,65.3%,3.4,cut,defensive
Washington Wizards,10,104,9.3%,1.21,126,50,83,60.2,60.2,22.1%,4.8%,20.2%,7.7%,60.6%,31.0,cut,defensive
Portland Trail Blazers,15,102,6.3%,1.25,127,46,79,58.2,58.2,26.5%,3.9%,26.5%,7.8%,63.7%,20.7,cut,defensive
Boston Celtics,13,113,7.8%,1.14,129,51,87,58.6,58.6,15.9%,9.7%,13.3%,2.7%,58.4%,62.1,cut,defensive
Philadelphia 76ers,15,118,7.2%,1.11,131,54,93,58.1,58.1,16.9%,9.3%,16.1%,5.1%,56.8%,82.8,cut,defensive
Los Angeles Clippers,13,109,7.5%,1.24,135,57,86,66.3,66.3,13.8%,8.3%,11.9%,0.9%,64.2%,24.1,cut,defensive
Golden State Warriors,15,116,6.8%,1.16,135,56,93,60.2,60.2,15.5%,6.9%,15.5%,2.6%,59.5%,58.6,cut,defensive
