Player ,ID,Size
dajuan wagner,2402,Small
nene,2403,Big
chris wilcox,2404,Big
amar'e stoudemire,2405,Big
caron butler,2406,Small
jared jeffries,2407,Big
melvin ely,2408,Big
marcus haislip,2409,Small
fred jones,2410,Small
bostjan nachbar,2411,Big
jiri welsch,2412,Small
juan dixon,2413,Small
curtis borchardt,2414,Big
ryan humphrey,2415,Small
kareem rush,2416,Small
qyntel woods,2417,Small
casey jacobsen,2418,Small
tayshaun prince,2419,Small
nenad krstic,2420,Big
frank williams,2421,Small
john salmons,2422,Small
chris jefferies,2423,Small
dan dickau,2424,Small
robert archibald,2425,Big
roger mason jr.,2427,Small
vincent yarbrough,2428,Small
dan gadzuric,2429,Big
carlos boozer,2430,Big
david andersen,2431,Big
tito maddox,2432,Small
juan carlos navarro,2434,Small
mario kasun,2435,Big
ronald murray,2436,Small
lonny baxter,2437,Big
matt barnes,2440,Small
jamal sampson,2441,Big
chris owens,2442,Small
darius songaila,2443,Big
rasual butler,2446,Small
tamar slay,2447,Small
luis scola,2449,Big
randy holcomb,2450,Small
j.r. bremer,2452,Small
predrag savovic,2453,Small
junior harrington,2454,Small
cezary trybanski,2456,Big
jannero pargo,2457,Small
guy rucker,2462,Big
maurice carter,2466,Small
pat burke,2469,Big
smush parker,2470,Small
mike batiste,2471,Big
devin brown,2484,Small
adam harrington,2492,Small
richie frahm,2499,Small
reggie evans,2501,Big
antoine rigaudeau,2541,Small
lebron james,2544,Small
darko milicic,2545,Big
carmelo anthony,2546,Small
chris bosh,2547,Big
dwyane wade,2548,Small
chris kaman,2549,Big
kirk hinrich,2550,Small
