Season,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013,302,Kendall Marshall,PG,22,LAL,54,1564,12.6,0.494,0.425,0.086,1,9.6,5.3,44.3,1.5,0.2,25.6,16.3,0.6,0.3,0.9,0.029,-1.3,-3.2,-4.5,-1
2012,449,Kendall Marshall,PG,21,PHO,48,702,7.8,0.455,0.483,0.093,0.6,6.3,3.4,29.4,1.6,0.4,26.6,13.6,-0.4,0.2,-0.2,-0.012,-4.1,-3.2,-7.3,-0.9
2014,413,Kendrick Perkins,C,30,TOT,68,1148,7,0.467,0.004,0.366,8.7,21.2,15.1,6.3,0.7,2.9,26.5,13.6,-1.2,1.3,0.1,0.006,-5.5,1.3,-4.2,-0.6
2013,304,Kendrick Perkins,C,29,OKC,62,1207,6.3,0.474,0.005,0.347,8,19.9,14.2,7.6,1.1,2.2,28.8,11.5,-0.9,1.7,0.8,0.031,-4.7,2.1,-2.7,-0.2
2012,193,Kendrick Perkins,C,28,OKC,78,1954,8.2,0.479,0.003,0.23,7,19.5,13.7,7.9,1.1,3.2,24,10.6,-0.5,3,2.5,0.062,-3.3,2.9,-0.4,0.8
2011,191,Kendrick Perkins,C,27,OKC,65,1744,8.7,0.528,0,0.427,8.4,18.8,13.9,6.4,0.7,3,27.5,11.1,0,2.1,2,0.056,-2.7,2.1,-0.6,0.6
2010,283,Kendrick Perkins,C,26,TOT,29,742,9.6,0.538,0,0.554,10.4,26.2,18.7,5.2,0.6,2.6,25.7,13.7,-0.2,1.2,1,0.063,-4.3,1.8,-2.5,-0.1
2009,89,Kendrick Perkins,C,25,BOS,78,2154,15,0.613,0.006,0.536,9.1,24.4,16.9,6,0.6,4.8,20.4,17.6,1.4,3.8,5.2,0.117,-2.5,2.7,0.2,1.2
2008,74,Kendrick Perkins,C,24,BOS,76,2253,13.2,0.591,0.004,0.335,11.5,21.4,16.7,6.5,0.5,5.3,23.1,14.8,1.1,4.5,5.6,0.119,-1.9,4.1,2.2,2.4
2007,70,Kendrick Perkins,C,23,BOS,78,1912,13.3,0.632,0.003,0.526,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,1.9,4.3,6.2,0.156,-1.7,4.3,2.6,2.2
