player_id,player_name
200746,lamarcus aldridge
200747,adam morrison
200748,tyrus thomas
200749,shelden williams
200750,brandon roy
200751,randy foye
200752,rudy gay
200753,patrick o'bryant
200754,mouhamed sene
200755,jj redick
200756,hilton armstrong
200757,thabo sefolosha
200758,ronnie brewer
200759,cedric simmons
200760,rodney carney
200761,shawne williams
200762,oleksiy pecherov
200763,quincy douby
200764,renaldo balkman
200765,rajon rondo
200766,marcus williams
200767,josh boone
200768,kyle lowry
200769,shannon brown
200770,jordan farmar
200771,sergio rodriguez
200772,maurice ager
200776,mardy collins
200777,joel freeland
200778,james white
200779,steve novak
200780,solomon jones
200781,paul davis
200782,pj tucker
200783,craig smith
200784,bobby jones
200785,kosta perovic
200786,david noel
200788,james augustine
200789,daniel gibson
200790,marcus vinicius
200792,alexander johnson
200793,dee brown
200794,paul millsap
200796,leon powe
200797,ryan hollins
200798,cheikh samb
200799,guillermo diaz
200801,hassan adams
200806,damir markota
200807,will blalock
200809,chris quinn
200810,allan ray
200811,lou amundson
200814,tarence kinsey
200816,jorge garbajosa
200817,pooh jeter
200818,justin williams
200821,yakhouba diawara
200822,pops mensah-bonsu
200823,robert hite
200826,jose juan barea
200827,darius washington
200829,ivan mcfarlin
200835,walter herrmann
200837,mike hall
200838,kevinn pinkney
200839,michael harris
200840,chris mccray
200841,cedric bozeman
200848,steven smith
200922,mike harris
200970,renaldo major
200971,dontell jefferson
200978,jeremy richardson
200984,lance allred
201041,walker russell
201043,randolph morris
201141,greg oden
201142,kevin durant
201143,al horford
201144,mike conley
201145,jeff green
201146,yi jianlian
201147,corey brewer
201148,brandan wright
201149,joakim noah
201150,spencer hawes
201151,acie law
201152,thaddeus young
201153,julian wright
201154,al thornton
201155,rodney stuckey
201156,nick young
201157,sean williams
201158,marco belinelli
201159,javaris crittenton
201160,jason smith
201161,daequan cook
201162,jared dudley
201163,wilson chandler
201164,rudy fernandez
201165,morris almond
201166,aaron brooks
201167,arron afflalo
201168,tiago splitter
201169,alando tucker
201171,carl landry
201172,gabe pruitt
201173,marcus williams
201174,nick fazekas
